0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"January 29, 2023","January 29, 2023","January 29, 2023",,,,"January 30, 2022","January 30, 2022","January 30, 2022"
Revenue,Revenue,Revenue,100.0,100.0,%,,,,100.0,100.0,%
Cost of revenue,Cost of revenue,Cost of revenue,43.1,43.1,,,,,35.1,35.1,
Gross profit,Gross profit,Gross profit,56.9,56.9,,,,,64.9,64.9,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,
Research and development,Research and development,Research and development,27.2,27.2,,,,,19.6,19.6,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",9.1,9.1,,,,,8.0,8.0,
Acquisition termination cost,Acquisition termination cost,Acquisition termination cost,5.0,5.0,,,,,—,—,
,,,,,,,,,,,
Total operating expenses,Total operating expenses,Total operating expenses,41.3,41.3,,,,,27.6,27.6,
Income from operations,Income from operations,Income from operations,15.6,15.6,,,,,37.3,37.3,
Interest income,Interest income,Interest income,1.0,1.0,,,,,0.1,0.1,
Interest expense,Interest expense,Interest expense,(1.0),(1.0),,,,,(0.9),(0.9),
"Other, net","Other, net","Other, net",(0.1),(0.1),,,,,0.4,0.4,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",(0.1),(0.1),,,,,(0.4),(0.4),
Income before income tax,Income before income tax,Income before income tax,15.5,15.5,,,,,36.9,36.9,
Income tax expense (benefit),Income tax expense (benefit),Income tax expense (benefit),(0.7),(0.7),,,,,0.7,0.7,
Net income,Net income,Net income,16.2,16.2,%,,,,36.2,36.2,%
