0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"January 31, 2021","January 31, 2021","January 31, 2021",,,,"January 26, 2020","January 26, 2020","January 26, 2020",,,,"January 27, 2019","January 27, 2019","January 27, 2019"
Revenue,Revenue,Revenue,$,16675,,,,,$,10918,,,,,$,11716,
Cost of revenue,Cost of revenue,Cost of revenue,6279,6279,,,,,4150,4150,,,,,4545,4545,
Gross profit,Gross profit,Gross profit,10396,10396,,,,,6768,6768,,,,,7171,7171,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,3924,3924,,,,,2829,2829,,,,,2376,2376,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",1940,1940,,,,,1093,1093,,,,,991,991,
Total operating expenses,Total operating expenses,Total operating expenses,5864,5864,,,,,3922,3922,,,,,3367,3367,
Income from operations,Income from operations,Income from operations,4532,4532,,,,,2846,2846,,,,,3804,3804,
Interest income,Interest income,Interest income,57,57,,,,,178,178,,,,,136,136,
Interest expense,Interest expense,Interest expense,(184),(184),,,,,(52),(52),,,,,(58),(58),
"Other, net","Other, net","Other, net",4,4,,,,,(2),(2),,,,,14,14,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",(123),(123),,,,,124,124,,,,,92,92,
Income before income tax,Income before income tax,Income before income tax,4409,4409,,,,,2970,2970,,,,,3896,3896,
Income tax expense (benefit),Income tax expense (benefit),Income tax expense (benefit),77,77,,,,,174,174,,,,,(245),(245),
Net income,Net income,Net income,$,4332,,,,,$,2796,,,,,$,4141,
,,,,,,,,,,,,,,,,,
Net income per share:,Net income per share:,Net income per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,7.02,,,,,$,4.59,,,,,$,6.81,
Diluted,Diluted,Diluted,$,6.90,,,,,$,4.52,,,,,$,6.63,
,,,,,,,,,,,,,,,,,
Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,,,,,,,,,,,,,,,
Basic,Basic,Basic,617,617,,,,,609,609,,,,,608,608,
Diluted,Diluted,Diluted,628,628,,,,,618,618,,,,,625,625,
