0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"January 30, 2022","January 30, 2022","January 30, 2022",,,,"January 31, 2021","January 31, 2021","January 31, 2021",,,,"January 26, 2020","January 26, 2020","January 26, 2020"
Revenue,Revenue,Revenue,$,26914,,,,,$,16675,,,,,$,10918,
Cost of revenue,Cost of revenue,Cost of revenue,9439,9439,,,,,6279,6279,,,,,4150,4150,
Gross profit,Gross profit,Gross profit,17475,17475,,,,,10396,10396,,,,,6768,6768,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,5268,5268,,,,,3924,3924,,,,,2829,2829,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",2166,2166,,,,,1940,1940,,,,,1093,1093,
Total operating expenses,Total operating expenses,Total operating expenses,7434,7434,,,,,5864,5864,,,,,3922,3922,
Income from operations,Income from operations,Income from operations,10041,10041,,,,,4532,4532,,,,,2846,2846,
Interest income,Interest income,Interest income,29,29,,,,,57,57,,,,,178,178,
Interest expense,Interest expense,Interest expense,(236),(236),,,,,(184),(184),,,,,(52),(52),
"Other, net","Other, net","Other, net",107,107,,,,,4,4,,,,,(2),(2),
"Other income (expense), net","Other income (expense), net","Other income (expense), net",(100),(100),,,,,(123),(123),,,,,124,124,
Income before income tax,Income before income tax,Income before income tax,9941,9941,,,,,4409,4409,,,,,2970,2970,
Income tax expense,Income tax expense,Income tax expense,189,189,,,,,77,77,,,,,174,174,
Net income,Net income,Net income,$,9752,,,,,$,4332,,,,,$,2796,
,,,,,,,,,,,,,,,,,
Net income per share:,Net income per share:,Net income per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,3.91,,,,,$,1.76,,,,,$,1.15,
Diluted,Diluted,Diluted,$,3.85,,,,,$,1.73,,,,,$,1.13,
,,,,,,,,,,,,,,,,,
Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,,,,,,,,,,,,,,,
Basic,Basic,Basic,2496,2496,,,,,2467,2467,,,,,2439,2439,
Diluted,Diluted,Diluted,2535,2535,,,,,2510,2510,,,,,2472,2472,
