0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"January 31, 2021","January 31, 2021","January 31, 2021",,,,"January 26, 2020","January 26, 2020","January 26, 2020"
Revenue,Revenue,Revenue,100.0,100.0,%,,,,100.0,100.0,%
Cost of revenue,Cost of revenue,Cost of revenue,37.7,37.7,,,,,38.0,38.0,
Gross profit,Gross profit,Gross profit,62.3,62.3,,,,,62.0,62.0,
Operating expenses:,Operating expenses:,Operating expenses:,,,,,,,,,
Research and development,Research and development,Research and development,23.5,23.5,,,,,25.9,25.9,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",11.6,11.6,,,,,10.0,10.0,
,,,,,,,,,,,
Total operating expenses,Total operating expenses,Total operating expenses,35.1,35.1,,,,,35.9,35.9,
Income from operations,Income from operations,Income from operations,27.2,27.2,,,,,26.1,26.1,
Interest income,Interest income,Interest income,0.3,0.3,,,,,1.6,1.6,
Interest expense,Interest expense,Interest expense,(1.1),(1.1),,,,,(0.5),(0.5),
"Other, net","Other, net","Other, net",0.1,0.1,,,,,—,—,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",(0.7),(0.7),,,,,1.1,1.1,
Income before income tax expense,Income before income tax expense,Income before income tax expense,26.5,26.5,,,,,27.2,27.2,
Income tax expense,Income tax expense,Income tax expense,0.5,0.5,,,,,1.6,1.6,
Net income,Net income,Net income,26.0,26.0,%,,,,25.6,25.6,%
