0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"Jan 28, 2024","Jan 28, 2024","Jan 28, 2024",,,,"Jan 29, 2023","Jan 29, 2023","Jan 29, 2023"
Revenue,Revenue,Revenue,100.0,100.0,%,,,,100.0,100.0,%
Cost of revenue,Cost of revenue,Cost of revenue,27.3,27.3,,,,,43.1,43.1,
Gross profit,Gross profit,Gross profit,72.7,72.7,,,,,56.9,56.9,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,
Research and development,Research and development,Research and development,14.2,14.2,,,,,27.2,27.2,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",4.4,4.4,,,,,9.1,9.1,
Acquisition termination cost,Acquisition termination cost,Acquisition termination cost,—,—,,,,,5.0,5.0,
,,,,,,,,,,,
Total operating expenses,Total operating expenses,Total operating expenses,18.6,18.6,,,,,41.3,41.3,
Operating income,Operating income,Operating income,54.1,54.1,,,,,15.6,15.6,
Interest income,Interest income,Interest income,1.4,1.4,,,,,1.0,1.0,
Interest expense,Interest expense,Interest expense,(0.4),(0.4),,,,,(1.0),(1.0),
"Other, net","Other, net","Other, net",0.4,0.4,,,,,(0.1),(0.1),
"Other income (expense), net","Other income (expense), net","Other income (expense), net",1.4,1.4,,,,,(0.1),(0.1),
Income before income tax,Income before income tax,Income before income tax,55.5,55.5,,,,,15.5,15.5,
Income tax expense (benefit),Income tax expense (benefit),Income tax expense (benefit),6.6,6.6,,,,,(0.7),(0.7),
Net income,Net income,Net income,48.9,48.9,%,,,,16.2,16.2,%
