0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"Jan 28, 2024","Jan 28, 2024","Jan 28, 2024",,,,"Jan 29, 2023","Jan 29, 2023","Jan 29, 2023",,,,"Jan 30, 2022","Jan 30, 2022","Jan 30, 2022"
Revenue,Revenue,Revenue,$,60922,,,,,$,26974,,,,,$,26914,
Cost of revenue,Cost of revenue,Cost of revenue,16621,16621,,,,,11618,11618,,,,,9439,9439,
Gross profit,Gross profit,Gross profit,44301,44301,,,,,15356,15356,,,,,17475,17475,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,8675,8675,,,,,7339,7339,,,,,5268,5268,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",2654,2654,,,,,2440,2440,,,,,2166,2166,
Acquisition termination cost,Acquisition termination cost,Acquisition termination cost,—,—,,,,,1353,1353,,,,,—,—,
Total operating expenses,Total operating expenses,Total operating expenses,11329,11329,,,,,11132,11132,,,,,7434,7434,
Operating income,Operating income,Operating income,32972,32972,,,,,4224,4224,,,,,10041,10041,
Interest income,Interest income,Interest income,866,866,,,,,267,267,,,,,29,29,
Interest expense,Interest expense,Interest expense,(257),(257),,,,,(262),(262),,,,,(236),(236),
"Other, net","Other, net","Other, net",237,237,,,,,(48),(48),,,,,107,107,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",846,846,,,,,(43),(43),,,,,(100),(100),
Income before income tax,Income before income tax,Income before income tax,33818,33818,,,,,4181,4181,,,,,9941,9941,
Income tax expense (benefit),Income tax expense (benefit),Income tax expense (benefit),4058,4058,,,,,(187),(187),,,,,189,189,
Net income,Net income,Net income,$,29760,,,,,$,4368,,,,,$,9752,
,,,,,,,,,,,,,,,,,
Net income per share:,Net income per share:,Net income per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,12.05,,,,,$,1.76,,,,,$,3.91,
Diluted,Diluted,Diluted,$,11.93,,,,,$,1.74,,,,,$,3.85,
,,,,,,,,,,,,,,,,,
Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,,,,,,,,,,,,,,,
Basic,Basic,Basic,2469,2469,,,,,2487,2487,,,,,2496,2496,
Diluted,Diluted,Diluted,2494,2494,,,,,2507,2507,,,,,2535,2535,
