0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"Jan 26, 2025","Jan 26, 2025","Jan 26, 2025",,,,"Jan 28, 2024","Jan 28, 2024","Jan 28, 2024"
Revenue,Revenue,Revenue,100.0,100.0,%,,,,100.0,100.0,%
Cost of revenue,Cost of revenue,Cost of revenue,25.0,25.0,,,,,27.3,27.3,
Gross profit,Gross profit,Gross profit,75.0,75.0,,,,,72.7,72.7,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,
Research and development,Research and development,Research and development,9.9,9.9,,,,,14.2,14.2,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",2.7,2.7,,,,,4.4,4.4,
Total operating expenses,Total operating expenses,Total operating expenses,12.6,12.6,,,,,18.6,18.6,
Operating income,Operating income,Operating income,62.4,62.4,,,,,54.1,54.1,
Interest income,Interest income,Interest income,1.4,1.4,,,,,1.4,1.4,
Interest expense,Interest expense,Interest expense,(0.2),(0.2),,,,,(0.4),(0.4),
"Other, net","Other, net","Other, net",0.8,0.8,,,,,0.4,0.4,
"Other income (expense), net","Other income (expense), net","Other income (expense), net",2.0,2.0,,,,,1.4,1.4,
Income before income tax,Income before income tax,Income before income tax,64.4,64.4,,,,,55.5,55.5,
Income tax expense,Income tax expense,Income tax expense,8.6,8.6,,,,,6.6,6.6,
Net income,Net income,Net income,55.8,55.8,%,,,,48.9,48.9,%
