0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended,Year Ended
,,,"Jan 26, 2025","Jan 26, 2025","Jan 26, 2025",,,,"Jan 28, 2024","Jan 28, 2024","Jan 28, 2024",,,,"Jan 29, 2023","Jan 29, 2023","Jan 29, 2023"
Revenue,Revenue,Revenue,$,130497,,,,,$,60922,,,,,$,26974,
Cost of revenue,Cost of revenue,Cost of revenue,32639,32639,,,,,16621,16621,,,,,11618,11618,
Gross profit,Gross profit,Gross profit,97858,97858,,,,,44301,44301,,,,,15356,15356,
Operating expenses,Operating expenses,Operating expenses,,,,,,,,,,,,,,,
Research and development,Research and development,Research and development,12914,12914,,,,,8675,8675,,,,,7339,7339,
"Sales, general and administrative","Sales, general and administrative","Sales, general and administrative",3491,3491,,,,,2654,2654,,,,,2440,2440,
Acquisition termination cost,Acquisition termination cost,Acquisition termination cost,—,—,,,,,—,—,,,,,1353,1353,
Total operating expenses,Total operating expenses,Total operating expenses,16405,16405,,,,,11329,11329,,,,,11132,11132,
Operating income,Operating income,Operating income,81453,81453,,,,,32972,32972,,,,,4224,4224,
Interest income,Interest income,Interest income,1786,1786,,,,,866,866,,,,,267,267,
Interest expense,Interest expense,Interest expense,(247),(247),,,,,(257),(257),,,,,(262),(262),
"Other, net","Other, net","Other, net",1034,1034,,,,,237,237,,,,,(48),(48),
"Other income (expense), net","Other income (expense), net","Other income (expense), net",2573,2573,,,,,846,846,,,,,(43),(43),
Income before income tax,Income before income tax,Income before income tax,84026,84026,,,,,33818,33818,,,,,4181,4181,
Income tax expense (benefit),Income tax expense (benefit),Income tax expense (benefit),11146,11146,,,,,4058,4058,,,,,(187),(187),
Net income,Net income,Net income,$,72880,,,,,$,29760,,,,,$,4368,
,,,,,,,,,,,,,,,,,
Net income per share:,Net income per share:,Net income per share:,,,,,,,,,,,,,,,
Basic,Basic,Basic,$,2.97,,,,,$,1.21,,,,,$,0.18,
Diluted,Diluted,Diluted,$,2.94,,,,,$,1.19,,,,,$,0.17,
,,,,,,,,,,,,,,,,,
Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,Weighted average shares used in per share computation:,,,,,,,,,,,,,,,
Basic,Basic,Basic,24555,24555,,,,,24690,24690,,,,,24870,24870,
Diluted,Diluted,Diluted,24804,24804,,,,,24940,24940,,,,,25070,25070,
